Year,Data,Value
1909,NZ_7_Stn_Composite_Temp,12.39
1910,NZ_7_Stn_Composite_Temp,12.46
1911,NZ_7_Stn_Composite_Temp,11.95
1912,NZ_7_Stn_Composite_Temp,11.33
1913,NZ_7_Stn_Composite_Temp,11.57
1914,NZ_7_Stn_Composite_Temp,11.58
1915,NZ_7_Stn_Composite_Temp,11.94
1916,NZ_7_Stn_Composite_Temp,12.99
1917,NZ_7_Stn_Composite_Temp,12.8
1918,NZ_7_Stn_Composite_Temp,11.81
1919,NZ_7_Stn_Composite_Temp,11.39
1920,NZ_7_Stn_Composite_Temp,11.54
1921,NZ_7_Stn_Composite_Temp,11.86
1922,NZ_7_Stn_Composite_Temp,12.01
1923,NZ_7_Stn_Composite_Temp,11.85
1924,NZ_7_Stn_Composite_Temp,12.81
1925,NZ_7_Stn_Composite_Temp,11.59
1926,NZ_7_Stn_Composite_Temp,11.78
1927,NZ_7_Stn_Composite_Temp,11.62
1928,NZ_7_Stn_Composite_Temp,12.7
1929,NZ_7_Stn_Composite_Temp,11.95
1930,NZ_7_Stn_Composite_Temp,11.25
1931,NZ_7_Stn_Composite_Temp,11.45
1932,NZ_7_Stn_Composite_Temp,11.6
1933,NZ_7_Stn_Composite_Temp,12.06
1934,NZ_7_Stn_Composite_Temp,12.27
1935,NZ_7_Stn_Composite_Temp,12.47
1936,NZ_7_Stn_Composite_Temp,11.88
1937,NZ_7_Stn_Composite_Temp,11.67
1938,NZ_7_Stn_Composite_Temp,12.85
1939,NZ_7_Stn_Composite_Temp,11.93
1977,NCDC_Global_Anom_5yr_av,-0.56
1978,NCDC_Global_Anom_5yr_av,-0.53
1979,NCDC_Global_Anom_5yr_av,-0.38
1980,NCDC_Global_Anom_5yr_av,-0.4
1981,NCDC_Global_Anom_5yr_av,-0.32
1982,NCDC_Global_Anom_5yr_av,-0.34
1983,NCDC_Global_Anom_5yr_av,-0.38
1984,NCDC_Global_Anom_5yr_av,-0.42
1985,NCDC_Global_Anom_5yr_av,-0.36
1986,NCDC_Global_Anom_5yr_av,-0.35
1987,NCDC_Global_Anom_5yr_av,-0.28
1988,NCDC_Global_Anom_5yr_av,-0.17
1989,NCDC_Global_Anom_5yr_av,-0.12
1990,NCDC_Global_Anom_5yr_av,-0.15
1991,NCDC_Global_Anom_5yr_av,-0.19
1992,NCDC_Global_Anom_5yr_av,-0.17
1993,NCDC_Global_Anom_5yr_av,-0.14
1994,NCDC_Global_Anom_5yr_av,-0.18
1995,NCDC_Global_Anom_5yr_av,-0.09
1996,NCDC_Global_Anom_5yr_av,0.03
1997,NCDC_Global_Anom_5yr_av,0.09
1998,NCDC_Global_Anom_5yr_av,0.06
1999,NCDC_Global_Anom_5yr_av,0.16
2000,NCDC_Global_Anom_5yr_av,0.21
1940,NZ_7_Stn_Composite_Temp,11.74
1941,NZ_7_Stn_Composite_Temp,11.73
1942,NZ_7_Stn_Composite_Temp,12.03
1943,NZ_7_Stn_Composite_Temp,11.76
1944,NZ_7_Stn_Composite_Temp,11.78
1945,NZ_7_Stn_Composite_Temp,11.53
1946,NZ_7_Stn_Composite_Temp,11.8
1947,NZ_7_Stn_Composite_Temp,12.06
1948,NZ_7_Stn_Composite_Temp,12.29
1949,NZ_7_Stn_Composite_Temp,12.01
1950,NZ_7_Stn_Composite_Temp,12.12
1951,NZ_7_Stn_Composite_Temp,11.8
1952,NZ_7_Stn_Composite_Temp,12.12
1953,NZ_7_Stn_Composite_Temp,12.06
1954,NZ_7_Stn_Composite_Temp,12.59
1955,NZ_7_Stn_Composite_Temp,12.78
1956,NZ_7_Stn_Composite_Temp,12.92
1957,NZ_7_Stn_Composite_Temp,12.46
1958,NZ_7_Stn_Composite_Temp,12.39
1959,NZ_7_Stn_Composite_Temp,12.15
1960,NZ_7_Stn_Composite_Temp,12.27
1961,NZ_7_Stn_Composite_Temp,12.28
1962,NZ_7_Stn_Composite_Temp,12.91
1963,NZ_7_Stn_Composite_Temp,11.96
1964,NZ_7_Stn_Composite_Temp,12.02
1965,NZ_7_Stn_Composite_Temp,11.88
1966,NZ_7_Stn_Composite_Temp,12.15
1967,NZ_7_Stn_Composite_Temp,12.27
1968,NZ_7_Stn_Composite_Temp,12.21
1969,NZ_7_Stn_Composite_Temp,12.18
1970,NZ_7_Stn_Composite_Temp,12.87
1971,NZ_7_Stn_Composite_Temp,13.1
1972,NZ_7_Stn_Composite_Temp,12.24
1973,NZ_7_Stn_Composite_Temp,12.69
1974,NZ_7_Stn_Composite_Temp,12.74
1975,NZ_7_Stn_Composite_Temp,12.61
1976,NZ_7_Stn_Composite_Temp,11.73
1977,NZ_7_Stn_Composite_Temp,11.77
1978,NZ_7_Stn_Composite_Temp,12.82
1979,NZ_7_Stn_Composite_Temp,12.55
1980,NZ_7_Stn_Composite_Temp,12.25
1981,NZ_7_Stn_Composite_Temp,12.86
1982,NZ_7_Stn_Composite_Temp,12.11
1983,NZ_7_Stn_Composite_Temp,12.03
1984,NZ_7_Stn_Composite_Temp,12.68
1985,NZ_7_Stn_Composite_Temp,12.85
1986,NZ_7_Stn_Composite_Temp,12.65
1987,NZ_7_Stn_Composite_Temp,12.77
1988,NZ_7_Stn_Composite_Temp,12.93
1989,NZ_7_Stn_Composite_Temp,12.97
1990,NZ_7_Stn_Composite_Temp,12.99
1991,NZ_7_Stn_Composite_Temp,12.17
1992,NZ_7_Stn_Composite_Temp,11.48
1993,NZ_7_Stn_Composite_Temp,11.84
1994,NZ_7_Stn_Composite_Temp,12.33
1995,NZ_7_Stn_Composite_Temp,12.59
1996,NZ_7_Stn_Composite_Temp,12.45
1997,NZ_7_Stn_Composite_Temp,12.27
1998,NZ_7_Stn_Composite_Temp,13.41
1999,NZ_7_Stn_Composite_Temp,13.35
2000,NZ_7_Stn_Composite_Temp,12.79
2001,NZ_7_Stn_Composite_Temp,12.9
2002,NZ_7_Stn_Composite_Temp,12.67
2003,NZ_7_Stn_Composite_Temp,12.62
2004,NZ_7_Stn_Composite_Temp,12.17
2005,NZ_7_Stn_Composite_Temp,13.11
2006,NZ_7_Stn_Composite_Temp,12.4
2007,NZ_7_Stn_Composite_Temp,12.67
2008,NZ_7_Stn_Composite_Temp,12.86
2009,NZ_7_Stn_Composite_Temp,12.29
2010,NZ_7_Stn_Composite_Temp,13.07
2011,NZ_7_Stn_Composite_Temp,12.83
2012,NZ_7_Stn_Composite_Temp,12.45
2013,NZ_7_Stn_Composite_Temp,13.33
1909,NZ_7_Stn_Composite_Anomaly,-0.22
1910,NZ_7_Stn_Composite_Anomaly,-0.15
1911,NZ_7_Stn_Composite_Anomaly,-0.66
1912,NZ_7_Stn_Composite_Anomaly,-1.28
